names,lat,lon,seed,plot,harv,unharv,pd1,pd2,pd3,pd4,pd5,fert
e762ff7a,-16.83,27.34,115,5.75,17000,0,2015-11-08,2015-12-01,,,,2100
5bcc270d,-16.61,26.82,100,4.5,2450,0,2015-11-15,2015-11-15,2015-12-13,2015-12-24,2015-12-24,2100
67742a96,-16.51,26.94,110,5.5,3700,0,2015-11-15,2015-12-01,,,,1600
1df4cf7b,-15.91,26.52,80,4,6050,0,2015-12-01,2015-12-06,2015-12-06,2016-01-11,,
f8050d07,-16.59,26.82,60,2.5,5500,0,2015-12-01,2015-11-15,2016-01-04,,,
f982ec76,-16.67,26.86,50,2.75,5000,0,2015-11-15,,,,,2100
ea97781a,-16.41,26.78,20,1,2200,0,2015-12-01,,,,,
5f757f7a,-15.92,26.53,55,3,6175,0,2015-12-13,2015-12-24,2015-12-24,,,
f39ecbf0,-16.03,26.93,95,5,2000,0,2015-11-15,2015-12-06,2015-12-13,2015-12-24,2016-01-04,
c40e584a,-16.68,26.86,10,0.5,200,0,2016-01-11,,,,,
bd520aad,-16.82,26.83,5,0.5,500,0,2016-01-18,,,,,1800
b359890a,-16.88,27.27,30,1.5,401,0,2015-12-06,2015-12-01,,,,
e0850ad3,-16.06,26.97,60,5,2000,0,2015-11-02,2015-12-01,,,,
13472df2,-16.91,27.25,15,0.75,1500,0,2015-12-13,2015-12-24,,,,2100
fa6f6c38,-16.76,27.33,40,2,4000,0,2015-11-24,2015-12-13,2015-12-24,2015-12-24,,
c7a4f133,-16.66,26.86,15.75,15.75,1700,0,2015-11-24,2015-11-24,,,,2100
3d2094c7,-15.91,26.52,60,3,2750,0,2015-12-01,2015-12-13,2015-12-13,2015-12-24,,
be306a0e,-16.05,26.97,40,4,810,0,2015-12-24,,,,,
ba011191,-16.23,26.67,100,5,12500,0,2016-01-11,,,,,
10b4efbc,-16.55,26.96,15,0.75,250,0,2015-11-24,2015-11-24,,,,370
2b524977,-16.75,26.97,18,0.95,850,0,2015-11-02,2015-12-13,,,,300
1ab8c60d,-16.88,26.79,40,2,2950,0,2015-11-08,2015-11-24,,,,2100
7f7bb8c7,-16.91,26.96,35,2.1,3600,0,2015-11-08,2015-12-01,,,,800
c9af87bf,-16.82,26.97,40,1.5,5900,0,2015-12-01,2015-12-24,,,,
cfd1c,-15.71,26.71,20,0.5,100,0,2015-12-01,,,,,
a881c206,-17.15,27.14,35,1.75,3000,0,2015-12-01,2015-12-06,2015-12-13,2015-12-24,,
ba03c77d,-16.71,26.9,40,2,3180,0,2015-12-01,2015-12-13,,,,2065
f0749c42,-16.9,27.28,70,3.5,4300,0,2015-12-13,2015-12-13,,,,0
91765d0d,-16.74,26.94,40,2,4000,0,2015-11-08,2015-11-15,,,,1780
7c8bdfe7,-16.72,26.86,40,2,900,0,2016-01-04,2016-01-04,2015-12-06,2015-12-06,,4200
f80ad9f4,-16.78,27.09,40,2,3800,0,2015-12-01,2015-12-06,2015-12-13,2016-01-04,,
6c2cc12,-15.74,26.74,10,0.25,800,0,2016-01-04,,,,,
23e348a6,-17.2,27.11,15,0.75,750,0,2015-12-13,,,,,
22a04b46,-16.92,27.12,25,1.25,3600,0,2015-11-24,2015-12-24,2016-01-18,,,
c970c218,-16.77,27.13,30,1.5,2400,0,2015-11-15,2015-11-15,2015-12-01,,,1280
8b5b3e5d,-16.93,27.3,20,1.5,1750,0,2015-11-15,2015-12-24,,,,1700
601f836b,-16.74,26.94,10,0.5,500,0,2015-12-01,,,,,
98a116c7,-15.92,26.53,20,3,1750,0,2015-11-08,,,,,
a8105d26,-16.91,26.95,20,1,890,0,2015-12-24,,,,,
f4b399e6,-16.91,27.11,40,2,1750,0,2015-11-08,2015-11-08,2015-12-06,2016-01-04,,
f613a24f,-16.03,26.93,40,2,400,0,2015-12-01,2016-01-18,,,,
c438b21c,-16.23,26.67,40,2,3250,0,2015-12-01,2015-12-06,,,,
8a6fc032,-16.86,26.91,40,2,1450,0,2015-11-08,2015-12-01,2015-12-13,,,400
f1a27f31,-16.77,27.31,55,3.25,800,0,2015-11-02,2015-11-15,2015-11-24,,,800
8e9c7758,-15.93,26.51,25,1.25,900,0,2015-12-01,2016-01-04,,,,
16c2c4e0,-16.26,26.69,40,2,2250,0,2015-12-01,,,,,
b284e43a,-16.05,26.97,120,5,4800,0,2015-12-13,,,,,
c5f9e062,-16.88,26.79,25,1.25,9500,0,2015-12-24,2016-01-04,,,,2100
841ccf8a,-16.86,26.78,40,2,3000,0,2015-12-01,2015-12-06,2015-12-13,,,1800
2171bfca,-16.77,27.24,0,0,0,0,,,,,,
da48e1a5,-17.19,27.11,50,2.5,2550,0,2015-12-13,2016-01-04,,,,800
4968ac09,-17.2,27.11,20,3,3200,0,2015-11-15,2015-12-06,,,,2100
c1e20d60,-16.74,26.94,60,3,4030,0,2015-11-24,2015-12-01,2015-12-13,,,2100
6219f850,-16.93,27.06,30,1.5,5175,0,2015-11-15,2015-11-15,2015-12-01,,,2800
4708c680,-16.06,26.93,20,1,250,0,2015-12-01,,,,,
e852f901,-17.2,27.1,20,1,1000,0,2015-12-01,,,,,
c73a4163,-16.78,27.11,20,1,1400,0,2015-12-24,2015-11-08,,,,
6d7e1e64,-16.59,26.87,15,0.75,1200,0,2016-01-11,2015-11-24,,,,1700
7b45c011,-16.6,26.86,40,2,3000,0,2015-12-01,2015-12-06,,,,2100
6ca8b106,-16.91,27.26,30,1.5,3150,0,2015-12-01,2015-12-13,,,,2100
f0aa8ee9,-16.61,26.8,20,1,1000,0,2015-11-15,,,,,
eb130792,-15.06,26.74,45,3,500,0,2015-12-13,2015-12-24,,,,
1c8c16c2,-15.71,26.71,15,2,300,0,2015-12-01,,,,,
1a6dbd79,-16.23,26.67,80,4,3750,0,2015-12-01,2015-12-06,2015-12-13,,,
a9bef24f,-16.85,26.78,35,1.75,6450,0,2015-12-06,2015-11-24,2015-12-13,,,2016
966908fc,-15.91,26.51,20,1,2000,0,2015-12-01,,,,,
ba4803ac,-17,27.06,10,1,600,0,2015-12-13,,,,,800
f5c10250,-16.93,27.04,40,2,4050,0,2015-12-01,2015-12-13,2015-12-24,,,1400
936ded02,-16.49,26.94,25,1.5,2700,0,2016-01-04,,,,,500
5f140d1d,-16.42,26.78,25,1.25,400,0,2015-12-01,2016-01-04,,,,
6bd799e5,-16.78,27.11,50,4,3750,0,2015-12-13,,,,,2100
e85801b2,-16.05,26.98,40,3,330,0,2016-01-04,,,,,
41250f52,-16.93,27.26,30,1.5,1890,0,2015-12-06,2015-12-13,,,,
c9a999a0,-16.05,26.99,70,3,3000,0,2015-11-15,,,,,
e4a48dac,-16.48,26.95,30,1.5,2500,0,2015-11-15,2015-11-15,2015-12-13,,,1500
ccadbe25,-16.89,27.27,15,1,0,0,2015-12-13,,,,,
f07f5916,-15.93,26.51,30,1.5,2500,0,2015-12-01,2015-12-13,,,,
