podid,lat,lon,date,rain
B00021,-16.25561,26.89594,2016-10-16,15.748
B00021,-16.25561,26.89594,2016-10-17,11.938
B00021,-16.25561,26.89594,2016-10-18,0
B00021,-16.25561,26.89594,2016-10-19,0
B00021,-16.25561,26.89594,2016-10-20,0
B00021,-16.25561,26.89594,2016-10-21,0
B00021,-16.25561,26.89594,2016-10-22,0
B00021,-16.25561,26.89594,2016-10-23,0
B00021,-16.25561,26.89594,2016-10-24,0
B00021,-16.25561,26.89594,2016-10-25,0
B00021,-16.25561,26.89594,2016-10-26,0
B00021,-16.25561,26.89594,2016-10-27,0
B00021,-16.25561,26.89594,2016-10-28,0
B00021,-16.25561,26.89594,2016-10-29,0
B00021,-16.25561,26.89594,2016-10-30,0
B00021,-16.25561,26.89594,2016-10-31,0
B00021,-16.25561,26.89594,2016-11-01,0
B00021,-16.25561,26.89594,2016-11-02,0
B00021,-16.25561,26.89594,2016-11-03,6.604
B00021,-16.25561,26.89594,2016-11-04,0
B00021,-16.25561,26.89594,2016-11-05,0
B00021,-16.25561,26.89594,2016-11-06,2.794
B00021,-16.25561,26.89594,2016-11-07,0
B00021,-16.25561,26.89594,2016-11-08,0
B00021,-16.25561,26.89594,2016-11-09,0.762
B00021,-16.25561,26.89594,2016-11-10,0
B00021,-16.25561,26.89594,2016-11-11,0
B00021,-16.25561,26.89594,2016-11-12,0.508
B00021,-16.25561,26.89594,2016-11-13,0
B00021,-16.25561,26.89594,2016-11-14,3.048
B00021,-16.25561,26.89594,2016-11-15,23.876
B00021,-16.25561,26.89594,2016-11-16,0
B00021,-16.25561,26.89594,2016-11-17,0
B00021,-16.25561,26.89594,2016-11-18,0
B00021,-16.25561,26.89594,2016-11-19,0.762
B00021,-16.25561,26.89594,2016-11-20,0
B00021,-16.25561,26.89594,2016-11-21,1.016
B00021,-16.25561,26.89594,2016-11-22,0
B00021,-16.25561,26.89594,2016-11-23,0.762
B00021,-16.25561,26.89594,2016-11-24,5.842
B00021,-16.25561,26.89594,2016-11-25,4.064
B00021,-16.25561,26.89594,2016-11-26,85.344
B00021,-16.25561,26.89594,2016-11-27,0
B00021,-16.25561,26.89594,2016-11-28,0
B00021,-16.25561,26.89594,2016-11-29,0
B00021,-16.25561,26.89594,2016-11-30,7.874
B00021,-16.25561,26.89594,2016-12-01,0
B00021,-16.25561,26.89594,2016-12-02,0
B00021,-16.25561,26.89594,2016-12-03,12.954
B00021,-16.25561,26.89594,2016-12-04,0.254
B00021,-16.25561,26.89594,2016-12-05,0
B00021,-16.25561,26.89594,2016-12-06,0
B00021,-16.25561,26.89594,2016-12-07,0
B00021,-16.25561,26.89594,2016-12-08,0
B00021,-16.25561,26.89594,2016-12-09,0.508
B00021,-16.25561,26.89594,2016-12-10,0
B00021,-16.25561,26.89594,2016-12-11,21.844
B00021,-16.25561,26.89594,2016-12-12,53.086
B00021,-16.25561,26.89594,2016-12-13,3.302
B00021,-16.25561,26.89594,2016-12-14,44.704
B00021,-16.25561,26.89594,2016-12-15,0
B00021,-16.25561,26.89594,2016-12-16,0
B00021,-16.25561,26.89594,2016-12-17,3.556
B00021,-16.25561,26.89594,2016-12-18,2.54
B00021,-16.25561,26.89594,2016-12-19,1.016
B00021,-16.25561,26.89594,2016-12-20,0
B00021,-16.25561,26.89594,2016-12-21,0
B00021,-16.25561,26.89594,2016-12-22,1.27
B00021,-16.25561,26.89594,2016-12-23,0
B00021,-16.25561,26.89594,2016-12-24,0.254
B00021,-16.25561,26.89594,2016-12-25,0
B00021,-16.25561,26.89594,2016-12-26,1.524
B00021,-16.25561,26.89594,2016-12-27,0
B00021,-16.25561,26.89594,2016-12-28,0
B00021,-16.25561,26.89594,2016-12-29,25.146
B00021,-16.25561,26.89594,2016-12-30,0
B00021,-16.25561,26.89594,2016-12-31,0.508
B00021,-16.25561,26.89594,2017-01-01,12.446
B00021,-16.25561,26.89594,2017-01-02,20.574
B00021,-16.25561,26.89594,2017-01-03,21.844
B00021,-16.25561,26.89594,2017-01-04,27.432
B00021,-16.25561,26.89594,2017-01-05,3.81
B00021,-16.25561,26.89594,2017-01-06,0.254
B00021,-16.25561,26.89594,2017-01-07,0
B00021,-16.25561,26.89594,2017-01-08,0
B00021,-16.25561,26.89594,2017-01-09,11.684
B00021,-16.25561,26.89594,2017-01-10,8.382
B00021,-16.25561,26.89594,2017-01-11,0.254
B00021,-16.25561,26.89594,2017-01-12,7.112
B00021,-16.25561,26.89594,2017-01-13,18.288
B00021,-16.25561,26.89594,2017-01-14,0
B00021,-16.25561,26.89594,2017-01-15,2.54
B00021,-16.25561,26.89594,2017-01-16,28.448
B00021,-16.25561,26.89594,2017-01-17,9.144
B00021,-16.25561,26.89594,2017-01-18,5.842
B00021,-16.25561,26.89594,2017-01-19,2.286
B00021,-16.25561,26.89594,2017-01-20,5.842
B00021,-16.25561,26.89594,2017-01-21,46.736
B00021,-16.25561,26.89594,2017-01-22,6.858
B00021,-16.25561,26.89594,2017-01-23,19.304
B00021,-16.25561,26.89594,2017-01-24,0
B00021,-16.25561,26.89594,2017-01-25,5.08
B00021,-16.25561,26.89594,2017-01-26,0.508
B00021,-16.25561,26.89594,2017-01-27,11.176
B00021,-16.25561,26.89594,2017-01-28,3.81
B00021,-16.25561,26.89594,2017-01-29,1.524
B00021,-16.25561,26.89594,2017-01-30,0.254
B00021,-16.25561,26.89594,2017-01-31,0
B00021,-16.25561,26.89594,2017-02-01,3.81
B00021,-16.25561,26.89594,2017-02-02,1.524
B00021,-16.25561,26.89594,2017-02-03,15.748
B00021,-16.25561,26.89594,2017-02-04,60.198
B00021,-16.25561,26.89594,2017-02-05,7.366
B00021,-16.25561,26.89594,2017-02-06,25.146
B00021,-16.25561,26.89594,2017-02-07,0
B00021,-16.25561,26.89594,2017-02-08,0
B00021,-16.25561,26.89594,2017-02-09,17.78
B00021,-16.25561,26.89594,2017-02-10,0.508
B00021,-16.25561,26.89594,2017-02-11,0
B00021,-16.25561,26.89594,2017-02-12,0
B00021,-16.25561,26.89594,2017-02-13,0
B00021,-16.25561,26.89594,2017-02-14,0.762
B00021,-16.25561,26.89594,2017-02-15,7.112
B00021,-16.25561,26.89594,2017-02-16,4.572
B00021,-16.25561,26.89594,2017-02-17,0
B00021,-16.25561,26.89594,2017-02-18,6.604
B00021,-16.25561,26.89594,2017-02-19,0
B00021,-16.25561,26.89594,2017-02-20,2.794
B00021,-16.25561,26.89594,2017-02-21,3.81
B00021,-16.25561,26.89594,2017-02-22,2.032
B00021,-16.25561,26.89594,2017-02-23,51.054
B00021,-16.25561,26.89594,2017-02-24,2.794
B00021,-16.25561,26.89594,2017-02-25,1.524
B00021,-16.25561,26.89594,2017-02-26,13.716
B00021,-16.25561,26.89594,2017-02-27,0.508
B00021,-16.25561,26.89594,2017-02-28,15.494
B00021,-16.25561,26.89594,2017-03-01,13.462
B00021,-16.25561,26.89594,2017-03-02,0.762
B00021,-16.25561,26.89594,2017-03-03,0
B00021,-16.25561,26.89594,2017-03-04,35.56
B00021,-16.25561,26.89594,2017-03-05,8.636
B00021,-16.25561,26.89594,2017-03-06,9.906
B00021,-16.25561,26.89594,2017-03-07,4.318
B00021,-16.25561,26.89594,2017-03-08,0
B00021,-16.25561,26.89594,2017-03-09,4.826
B00021,-16.25561,26.89594,2017-03-10,0
B00021,-16.25561,26.89594,2017-03-11,2.032
B00021,-16.25561,26.89594,2017-03-12,0
B00021,-16.25561,26.89594,2017-03-13,3.556
