uuid,lat,lon,date,season,pl
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-11-14,2,0
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-11-28,2,1
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-12-05,2,1
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-12-12,2,0
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-12-19,2,1
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2016-12-26,2,1
ebd881fc-d1de-489a-91fa-a4bbe2b285ef,-16.803,27.31,2017-01-09,2,0
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-10-17,2,0
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-10-24,2,0
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-10-31,2,0
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-11-07,2,0
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-11-14,2,0
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-11-21,2,1
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-12-05,2,1
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-12-12,2,1
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-12-19,2,1
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2016-12-26,2,1
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2017-01-02,2,1
ecec693f-3789-4aa1-a497-6fbb0504bc53,-16.782,27.112,2017-01-16,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-10-17,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-10-24,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-11-07,2,0
