names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
10134004,16,-13.59,29.58,2,0.125,200,2015-11-08,,,,
10134004,17,-13.59,29.58,10,0.5,400,2016-11-07,,,,
10134005,16,-13.58,29.59,2,0.2,450,2015-12-24,,,,
10134005,17,-13.58,29.59,10,0.5,500,2016-12-05,,,,
10134006,16,-13.58,29.57,0,0,0,,,,,
10134006,17,-13.58,29.57,5,0.25,200,2016-12-01,,,,
10134007,16,-14.59,29.58,5,0.2,250,2015-12-13,,,,
10134007,17,-14.59,29.58,0,0,0,,,,,
10134008,16,-13.58,29.57,0,0,0,,,,,
10134008,17,-13.58,29.57,10,0.5,1550,2016-11-14,,,,
10134009,16,-13.59,29.58,5,0.25,400,2015-12-01,,,,
10134009,17,-13.59,29.58,5,0.25,1000,2016-12-23,,,,
10134010,16,-13.59,29.58,10,0.4,1850,2015-12-13,,,,
10134010,17,-13.59,29.58,20,1,3050,2016-12-01,,,,
10134011,16,-13.59,29.59,10,0.4,1100,2015-12-06,,,,
10134012,16,-13.59,29.58,10,0.5,400,2015-11-02,,,,
10134013,16,-13.59,29.58,10,0.4,1500,2015-11-08,,,,
10134013,17,-13.59,29.58,0,0,0,,,,,
10134014,16,-13.59,29.58,2,0.0625,200,2015-12-06,,,,
10134014,17,-13.59,29.58,0,0,0,,,,,
10134015,16,-13.58,29.58,10,0.4,450,2015-12-24,,,,
10134015,17,-13.58,29.58,5,0.25,600,2016-11-14,,,,
10134016,16,-13.58,29.57,5,0.25,60,2015-12-01,,,,
10134016,17,-13.58,29.57,6,0.25,250,2016-12-01,,,,
10134017,16,-13.59,29.58,5,0.5,1250,2015-11-24,,,,
10134018,16,-13.58,29.56,5,0.25,100,2015-12-01,,,,
10134018,17,-13.58,29.56,10,0.5,300,2016-12-01,,,,
10134019,16,-13.59,29.58,10,0.25,450,2015-12-01,,,,
10134019,17,-13.59,29.58,4,0.200000002980232,200,2016-11-24,,,,
10134020,16,-13.59,29.58,5,0.25,0,2015-11-08,,,,
10134020,17,-13.59,29.58,5,0.25,400,2016-11-07,,,,
10134021,16,-13.59,29.58,10,0.375,650,2015-11-15,,,,
10134021,17,-13.59,29.58,10,0.25,400,2016-12-01,,,,
10134022,16,-13.58,29.57,20,1,1500,2015-11-24,,,,
10134022,17,-13.58,29.57,25,1,2300,2016-12-01,,,,
