names,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
10208014,-14.55,26.92,15,0.75,500,2016-12-01,,,,
10208015,-14.51,26.95,10,0.5,300,2016-12-01,,,,
10208016,-14.51,26.95,10,0.5,0,2016-10-26,,,,
10208017,-14.51,26.91,50,2.5,6000,2016-12-01,,,,
10208018,-14.55,26.93,20,1,700,2016-12-12,2016-12-12,,,
10208019,-14.55,26.92,20,1,250,2016-12-05,,,,
10208020,-14.52,29.92,40,1,3000,2016-11-24,,,,
10228001,-15.19,27.34,160,8.299999833107,7700,2016-12-01,2016-12-23,2017-01-18,,
10228002,-15.19,27.33,450,18,42000,2016-11-24,2016-12-01,2016-12-01,,
10228003,-15.21,27.35,50,2.5,1500,2016-11-07,,,,
10228004,-15.21,27.35,40,3,1150,2016-12-01,2016-12-05,,,
10228005,-15.23,27.35,10,0.5,250,2016-12-05,,,,
10228006,-15.21,27.35,80,4,2250,2016-12-05,2016-11-07,2016-12-12,,
10228007,-15.19,27.34,90,4.5,2625,2016-12-05,2016-12-23,2016-12-23,2016-12-23,
10228008,-15.19,27.33,35,2,6000,2016-12-01,2016-12-12,,,
10228010,-15.21,27.35,10,1,780,2016-12-12,,,,
10228012,-15.21,27.35,40,2,1000,2016-12-05,2017-01-04,,,
10228013,-15.22,27.35,20,1,500,2016-12-12,,,,
10228014,-15.19,27.33,15,0.5,1250,2016-12-05,,,,
10228015,-15.22,27.35,60,3,1500,2016-12-05,2016-12-12,2016-12-12,,
10228016,-15.21,27.34,20,1,1400,2016-12-01,,,,
10228017,-15.21,27.36,30,36.4900000095367,3700,2016-12-01,2016-12-05,2016-12-01,,
10228018,-13.2,27.34,40,2,2800,2016-12-01,2016-12-05,,,
10228019,-15.19,27.34,170,8.5,3150,2016-11-07,2016-11-24,2016-12-12,2016-12-12,
10228020,-15.21,27.36,40,2,1500,2016-12-01,2016-12-05,,,
10232001,-15.41,27.09,20,1,1925,2016-11-24,2016-12-01,2016-12-05,,
10232002,-15.42,27.06,200,26,900,2016-12-12,,,,
10232003,-15.4,27.08,150,7.5,15600,2016-11-24,2016-12-05,,,
10232004,-15.4,27.07,90,6.5,2625,2016-12-05,2016-12-23,2017-01-04,,
10232005,-15.41,27.09,30,1,1890,2016-12-12,,,,
10232006,-15.42,27.06,40,2,875,2016-11-24,2016-12-01,,,
10232007,-15.41,27.08,60,4,4800,2016-12-01,2016-12-12,2016-12-01,,
10232008,-15.4,27.08,100,5,12000,2016-12-01,2016-12-12,,,
10232009,-15.41,27.08,22,3.5,1750,2016-12-01,2016-11-24,,,
10232010,-15.4,27.07,220,10,4000,2016-11-14,2016-12-01,,,
10232011,-15.42,27.06,30,1.96000003814697,4000,2016-11-14,,,,
10232012,-15.4,27.09,55,2.5,1750,2016-11-24,2016-12-01,,,
10232013,-15.4,27.08,30,2,2500,2016-11-24,,,,
10232014,-15.42,27.06,60,3,1200,2016-12-05,2016-12-12,,,
10232017,-15.4,27.08,300,15,5950,2016-10-26,2016-11-24,,,
10232018,-15.41,27.08,40,2,450,2016-12-12,,,,
10232019,-15.4,27.09,60,3,9000,2016-11-24,2016-12-01,2016-12-05,,
10232021,-15.4,27.08,60,3,4000,2016-12-05,,,,
10232022,-15.42,27.06,40,2,5000,2016-12-01,,,,
20106001,-13.83,28.65,5,0.25,100,2016-11-24,,,,
20106004,-13.82,28.65,10,0.5,500,2016-11-14,,,,
20106007,-13.8,28.64,10,0.5,800,2016-12-01,,,,
20106008,-13.83,28.65,20,1,450,2016-12-01,,,,
20106009,-13.32,28.64,20,1,3250,2016-12-01,2017-01-04,,,
20106010,-13.78,28.65,5,0.25,350,2016-11-24,,,,
20106011,-13.78,28.65,30,1.5,750,2016-11-02,2016-12-05,,,
20106012,-13.47,27.92,10,0.5,1600,2016-12-12,,,,
20106014,-13.45,27.93,0,0,0,,,,,
20106015,-13.45,27.93,10,0.5,1500,2016-12-01,,,,
20106017,-13.46,27.92,20,1,0,2016-11-24,,,,
20106018,-13.45,27.93,20,1,1000,2016-12-01,,,,
